"Dependent","Predictor","Beta","p_value","Significance","Supported"
"ATT","EC",0.483296096354445,4.97157796597314e-06,"***","YES"
"ATT","AW",0.320403028183988,0.000321822389398596,"***","YES"
"ATT","FI",0.118082313844973,0.0160108838716853,"*","YES"
"ATT","PC",-0.149765026189032,0.00930129635653887,"**","YES"
"PBC","EC",0.0497859865344802,0.56008087040973,"ns","NO"
"PBC","AW",0.769025100096115,0,"***","YES"
"PBC","FI",0.144826046124242,0.00114857518973777,"**","YES"
"RI","ATT",0.410691704204591,0.00259489984683259,"**","YES"
"RI","PBC",0.401524491942848,0.000121107660722375,"***","YES"
"RI","EC",-0.114547868866525,0.350227943046646,"ns","NO"
"RI","AW",0.0800491482422082,0.436110191978309,"ns","NO"
"RI","FI",0.216028193940662,2.31147494478279e-07,"***","YES"
"RI","PC",-0.115181236443792,0.0258711855819167,"*","YES"
